market_id,scan_timestamp,event_date,sport,competition,event,market_type,selection,bookmaker,decimal_odds,source,source_url_or_note
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book1,2.70,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,draw,Book1,3.60,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,away,Book1,2.55,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book2,2.75,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,draw,Book2,3.55,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,away,Book2,2.50,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book3,2.65,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,draw,Book3,3.65,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,away,Book3,2.60,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book4,2.70,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,draw,Book4,3.50,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
